ID|valmistaja|malli|nopeus|liito|vakaus|feidi
1|Discmania|Mentor|11|5|-2|2
2|Innova|Destroyer|12|5|-1|3
3|Innova|Roc3|5|4|0|3
4|Discmania|DD3|12|5|-1|3
5|Dynamic Discs|Judge|2|4|0|1
6|Discraft|Zone|4|3|0|3
7|12|3123|123|12312|3123|123213
